date,time,open,high,low,close,volume,turnover,settlement,open_interest
2011/05/04,0,3205.8,3205.8,3121.6,3129.0,163238.0,155005963980.0,3132.8,29755.0
2011/05/05,0,3120.0,3139.4,3115.2,3120.4,127061.0,119261434200.0,3130.0,29329.0
2011/05/06,0,3110.0,3144.0,3091.0,3133.0,168603.0,157760091300.0,3124.0,26493.0
2011/05/09,0,3135.6,3153.2,3114.4,3137.2,142312.0,133891236960.0,3125.2,24885.0
2011/05/10,0,3132.2,3157.6,3124.2,3149.4,154453.0,145580278080.0,3148.0,24263.0
2011/05/11,0,3155.0,3165.0,3126.0,3139.8,162088.0,153026598900.0,3144.4,22503.0
2011/05/12,0,3124.6,3142.0,3090.2,3090.2,145812.0,136609753800.0,3108.0,22100.0
2011/05/13,0,3104.8,3136.6,3087.2,3127.0,157456.0,146896378920.0,3125.2,22196.0
2011/05/16,0,3120.0,3135.0,3093.2,3103.8,115773.0,108190001460.0,3102.0,18126.0
2011/05/17,0,3100.0,3134.6,3077.0,3115.4,89458.0,83403794760.0,3118.4,11584.0
2011/05/18,0,3125.8,3159.8,3123.2,3148.2,131666.0,124224647700.0,3145.2,27224.0
2011/05/19,0,3152.0,3161.8,3128.2,3129.0,131879.0,124479084000.0,3134.0,29659.0
2011/05/20,0,3130.0,3142.6,3123.4,3126.2,127500.0,119806432260.0,3129.4,30952.0
2011/05/23,0,3118.6,3123.4,3020.6,3022.4,165275.0,152215912440.0,3029.6,34030.0
2011/05/24,0,3020.2,3033.6,3014.6,3023.8,124258.0,112766325000.0,3026.2,33726.0
2011/05/25,0,3020.8,3037.2,2991.0,3015.2,159561.0,144353917860.0,3003.2,34035.0
2011/05/26,0,3018.6,3026.8,2984.2,2992.6,157229.0,141950862120.0,2996.8,35017.0
2011/05/27,0,2995.0,3013.8,2979.2,2981.0,198093.0,177889347660.0,2986.8,39790.0
2011/05/30,0,2976.6,2989.8,2960.2,2971.8,155057.0,138399957900.0,2970.0,39371.0
2011/05/31,0,2973.0,3009.6,2962.2,2996.0,155048.0,138750683400.0,2997.6,38618.0
2011/06/01,0,2998.2,3004.8,2989.6,3002.4,116853.0,105074625900.0,3000.6,35519.0
2011/06/02,0,2981.0,2989.4,2928.8,2963.0,186120.0,165176394720.0,2956.8,33572.0
2011/06/03,0,2964.0,2998.6,2959.4,2986.6,147279.0,131734728060.0,2986.0,31461.0
2011/06/07,0,2984.4,3001.6,2971.4,2995.0,129804.0,116397189300.0,2997.2,31055.0
2011/06/08,0,2990.0,3015.4,2956.2,3006.8,166932.0,149498713440.0,3004.2,29651.0
2011/06/09,0,3009.2,3009.6,2951.0,2958.2,171985.0,153725330220.0,2960.0,30303.0
2011/06/10,0,2960.0,2968.0,2931.4,2947.6,170100.0,150680525520.0,2953.8,29740.0
2011/06/13,0,2940.0,2957.8,2918.0,2955.2,161648.0,142371987180.0,2949.6,28337.0
2011/06/14,0,2952.2,2995.8,2948.6,2984.0,152014.0,135810129060.0,2986.4,22789.0
2011/06/15,0,2985.8,2992.0,2959.2,2960.8,103534.0,92488566900.0,2967.8,17000.0
2011/06/16,0,2950.6,2950.6,2921.0,2921.0,37652.0,33142778640.0,2926.2,10634.0
2011/06/17,0,2931.6,2939.8,2887.2,2888.0,140071.0,122856332040.0,2909.2,31687.0
2011/06/20,0,2888.0,2898.0,2863.2,2883.6,149261.0,129095815380.0,2878.8,32160.0
2011/06/21,0,2890.0,2907.2,2881.0,2901.8,151767.0,131827953120.0,2902.6,30269.0
2011/06/22,0,2908.2,2917.8,2887.8,2897.6,149993.0,130636377360.0,2905.8,28524.0
2011/06/23,0,2891.2,2976.6,2884.2,2961.4,212256.0,186116508960.0,2954.4,27768.0
2011/06/24,0,2962.0,3062.0,2954.6,3039.8,237657.0,214722713760.0,3038.4,28933.0
2011/06/27,0,3033.0,3057.0,3022.2,3038.4,180870.0,164767535160.0,3033.4,29193.0
2011/06/28,0,3041.8,3052.6,3019.0,3041.0,175782.0,159998258100.0,3041.0,28870.0
2011/06/29,0,3050.0,3051.8,3008.6,3017.6,182134.0,165493145520.0,3015.0,28899.0
2011/06/30,0,3016.8,3081.0,3013.8,3035.0,204473.0,187179365160.0,3045.8,29394.0
2011/07/01,0,3040.2,3077.0,3035.0,3049.6,193487.0,177291690960.0,3054.4,27969.0
2011/07/04,0,3058.6,3130.0,3058.6,3122.0,186619.0,174070434660.0,3117.8,29151.0
2011/07/05,0,3122.2,3128.0,3109.8,3119.0,126429.0,118288271100.0,3115.8,27055.0
2011/07/06,0,3120.0,3125.0,3091.2,3114.0,152941.0,142494234900.0,3111.6,28605.0
2011/07/07,0,3119.6,3150.0,3098.0,3113.6,214542.0,200853893100.0,3107.0,26822.0
2011/07/08,0,3122.0,3134.8,3099.2,3120.6,197890.0,184885448460.0,3113.8,26380.0
2011/07/11,0,3113.8,3121.8,3091.2,3104.2,159537.0,148761307920.0,3112.2,24843.0
2011/07/12,0,3085.0,3090.8,3053.4,3054.6,151414.0,139584798900.0,3063.2,20735.0
2011/07/13,0,3063.0,3114.8,3063.0,3108.0,139557.0,129492610320.0,3107.8,15410.0
2011/07/14,0,3107.6,3123.0,3095.0,3114.0,48626.0,45390483120.0,3112.6,5589.0
2011/07/15,0,3122.0,3148.0,3109.0,3139.0,158300.0,148653894120.0,3134.8,28362.0
2011/07/18,0,3149.0,3157.0,3121.8,3122.8,135361.0,127362798420.0,3126.6,30068.0
2011/07/19,0,3119.0,3119.0,3098.2,3116.8,129604.0,120870973260.0,3109.2,30374.0
2011/07/20,0,3129.4,3130.8,3079.6,3095.2,149582.0,139195839420.0,3099.0,30633.0
2011/07/21,0,3091.0,3113.6,3070.0,3074.8,165943.0,153730972920.0,3075.8,31707.0
2011/07/22,0,3084.0,3097.0,3072.0,3075.0,130681.0,120844427160.0,3077.4,31147.0
2011/07/25,0,3062.0,3063.0,2966.0,2977.2,147344.0,133214202720.0,2978.2,31072.0
2011/07/26,0,2978.6,2985.6,2973.0,2983.2,95538.0,85376542620.0,2979.8,31482.0
2011/07/27,0,2975.0,3004.6,2955.2,2994.2,167471.0,150049428720.0,2997.8,27650.0
2011/07/28,0,2978.2,2992.8,2965.0,2990.2,138644.0,123845721540.0,2981.2,26857.0
2011/07/29,0,2986.8,3004.8,2956.8,2971.6,176889.0,158111780880.0,2984.4,26178.0
2011/08/01,0,2985.0,2997.0,2966.0,2987.8,126197.0,113049483060.0,2985.2,28085.0
2011/08/02,0,2970.0,2971.0,2924.2,2964.0,163985.0,144800795280.0,2953.2,26892.0
2011/08/03,0,2935.0,2973.2,2932.4,2960.0,151494.0,134395942080.0,2955.8,25674.0
2011/08/04,0,2966.0,2984.8,2955.8,2962.6,118500.0,105568182780.0,2963.6,26207.0
2011/08/05,0,2902.2,2919.4,2870.4,2896.2,150080.0,130694384280.0,2900.0,22505.0
2011/08/08,0,2890.0,2896.6,2751.8,2796.2,225170.0,190534510440.0,2799.8,24995.0
